Date Range,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Excitement Count,Excitement Words,Sentiment Label
saturday march 11 1944 to sunday march 12 1944,1,feeling,5,"feeling, pain, miserable, longing, crazy",3,"crazy, feeling, miserable",4,"pain, crazy, afraid, feeling",1,feeling,2,"feeling, miserable",1,feeling,3,"longing, feeling, time",0,,Very Negative
sunday march 12 1944 to tuesday march 14 1944,4,"kind, peace, nap, cheerful",4,"crazy, moody, wretched, worn",3,"confusion, moody, crazy",3,"confusion, crazy, avoid",6,"father, peace, confide, explain, kind, divan",1,wretched,3,"chance, cheerful, mouth",5,"peace, tomorrow, ready, long, time",0,,Very Positive
tuesday march 14 1944 to thursday march 16 1944,8,"pleasant, picnic, entertain, amusing, progress, save, present, food",12,"wretched, quiet, bad, cancer, black, sick, ill, disease, measles, unbearable, wanting, fat",8,"row, hot, horrible, bad, cancer, disgusting, ill, disease",9,"war, horrible, bad, cancer, hiding, disgusting, ill, disease, measles",9,"pleasant, picnic, frank, important, save, present, truth, measure, food",20,"stomach, mess, stinking, ill, idiot, fat, wretched, bad, stink, disgusting, muck, disease, measles, gut, horrible, cancer, sick, garbage, nose, unbearable",4,"pleasant, picnic, present, mouth",8,"pleasant, picnic, progress, present, long, thought, time, hungry",0,,Very Negative
thursday march 16 1944 to thursday march 16 1944,4,"green, laugh, good, present",9,"woe, gloom, quiet, case, forsaken, bad, ill, sick, lost",4,"ill, forsaken, bad, row",8,"hearing, doom, woe, diagnosis, case, bad, ill, flu",6,"green, real, good, diagnosis, present, doctor",4,"ill, sick, woe, bad",4,"guess, laugh, good, present",6,"good, diagnosis, tomorrow, present, audience, time",0,,Very Negative
thursday march 16 1944 to friday march 17 1944,14,"green, gorgeous, laugh, good, confidence, peace, love, present, affection, goodness, share, mother, hope, beautiful",15,"groan, woe, gloom, quiet, case, forsaken, bad, terribly, ill, sick, lost, moan, mother, crazy, pity",7,"crazy, row, forsaken, contemptuous, bad, ill, battle",12,"hearing, doom, woe, war, diagnosis, confidence, crazy, case, bad, ill, moan, flu",17,"father, green, real, akin, good, diagnosis, confidence, frank, peace, present, affection, goodness, share, doctor, mother, constantly, hope",5,"groan, woe, bad, ill, sick",6,"laugh, good, present, goodness, guess, hope",13,"good, diagnosis, long, peace, tomorrow, present, goodness, share, audience, mother, thought, time, hope",0,,Very Positive
friday march 17 1944 to saturday march 18 1944,8,"laugh, love, darling, admiration, mother, food, approve, respect",3,"mother, sick, older",1,disgusting,4,"disgusting, flu, change, remains",11,"father, frank, darling, remains, objective, admire, admiration, mother, food, approve, respect",3,"disgusting, sick, remains",2,"laugh, suddenly",7,"coming, long, objective, happen, mother, immediately, respect",0,,Very Positive
saturday march 18 1944 to sunday march 19 1944,4,"wonderful, marriage, proud, sex",1,leave,0,,1,afraid,9,"father, intuition, frank, sex, confirmed, wonderful, proud, general, marriage",1,ignorant,3,"wonderful, leave, purity",3,"marriage, proud, sex",0,,Very Positive
sunday march 19 1944 to monday march 20 1944,17,"exuberance, feeling, good, kiss, cheerful, smile, peace, love, eager, happy, wonderful, glad, birthday, mother, diary, deal, special",11,"alienated, feeling, quiet, bad, loneliness, cry, ill, meaningless, dreadful, mother, withdraw",11,"feeling, distrust, hot, ire, bad, ill, argument, argue, dreadful, words, pest",7,"feeling, distrust, bad, loneliness, ill, dreadful, pest",17,"father, feeling, good, trust, important, peace, smile, eager, happy, wonderful, fact, usual, mother, deal, word, diary, agreed",6,"feeling, distrust, bad, ill, dreadful, pest",11,"feeling, good, kiss, cheerful, smile, eager, wonderful, birthday, surprised, deal, suddenly",14,"feeling, good, kiss, coming, peace, eager, happy, dreadful, birthday, mother, glad, thought, time, deal",0,,Very Positive
monday march 20 1944 to today march 20 1944,5,"feeling, friendly, treat, happiness, mother",7,"feeling, awful, bitterly, treat, unpleasant, mother, indifference",8,"feeling, contempt, spite, awful, bitterly, treat, jealous, indifference",6,"war, contempt, feeling, awful, treat, indifference",6,"feeling, frank, friendly, treat, show, mother",8,"feeling, contempt, awful, bitterly, treat, jealous, unpleasant, indifference",2,"treat, feeling",9,"feeling, start, wait, friendly, treat, happiness, thought, time, mother",0,,Very Negative
today march 20 1944 to thursday march 23 1944,23,"friendship, enjoy, happy, wonderful, spirits, satisfied, friend, true, found, love, gain, beautiful, good, affection, goodness, sweet, honest, hope, silly, kind, feeling, sunshine, share",12,"feeling, tolerate, exhausted, missing, case, bad, reproach, bottom, hell, ill, honest, unpleasant",10,"feeling, tolerate, shout, bad, reproach, jealous, hell, ill, honest, words",8,"feeling, missing, case, bad, hell, ill, change, honest",24,"friendship, trust, enjoy, happy, wonderful, friend, true, found, frank, agreement, truth, conscience, good, brother, affection, goodness, sweet, honest, hope, kind, father, feeling, prepared, share",9,"feeling, nose, bad, reproach, jealous, hell, ill, unpleasant, honest",10,"feeling, good, splash, shout, wonderful, spirits, goodness, sweet, surprised, hope",19,"letter, enjoy, begun, happy, tomorrow, wait, spirits, develop, gain, good, goodness, sweet, clock, long, hope, feeling, prepared, share, time",0,,Very Positive
thursday march 23 1944 to friday march 24 1944,9,"laugh, intimate, enlighten, sex, goodness, sweet, honest, mother, surprise",8,"defenseless, descent, prison, ill, wound, honest, mother, worry",5,"rage, prison, ill, wound, honest",14,"defenseless, descent, fire, stunned, parachute, prison, ill, afraid, wound, honest, fever, flu, surprise, worry",13,"father, crew, assured, intimate, enlighten, top, sex, goodness, sweet, honest, usual, mother, deed",2,"ill, honest",7,"laugh, outrageous, goodness, sweet, stunned, surprise, trick",8,"intimate, top, sex, goodness, sweet, mother, worry, time",0,,Positive
friday march 24 1944 to saturday march 25 1944,8,"friendship, laugh, intimate, young, mother, enjoying, sun, silly",7,"dying, unpleasant, dark, lower, forgotten, mother, obnoxious",6,"dying, spite, jealous, words, fits, obnoxious",5,"war, dying, afraid, hide, forgotten",10,"friendship, intimate, frank, important, top, explain, truth, mother, enjoying, sun",5,"dying, blister, jealous, unpleasant, obnoxious",6,"curiosity, laugh, young, mouth, sudden, sun",10,"curiosity, thought, intimate, young, top, time, happen, mother, enjoying, sun",0,,Very Positive
saturday march 25 1944 to monday march 27 1944,15,"money, flattering, enjoy, young, peace, happy, friendly, beautiful, friend, friendliness, honest, mother, candid, true, score",10,"rainy, badly, case, ill, criticize, honest, mother, mistake, worry, dark",8,"money, force, teasing, blame, quarrel, ill, criticize, honest",8,"difficult, case, force, teasing, ill, criticize, honest, worry",16,"father, money, intelligent, frank, enjoy, peace, agreeing, happy, friendly, friend, friendliness, honest, mother, committed, candid, true",4,"ill, criticize, honest, blame",5,"money, young, occasional, candid, score",11,"money, enjoy, young, peace, happy, friendly, mother, worry, time, candid, score",0,,Very Positive
monday march 27 1944 to tuesday march 28 1944,10,"jump, laugh, music, intimate, faith, splendid, spouse, peaceful, mother, special",8,"urn, music, late, worse, ill, mother, dark, insult",11,"grumble, row, force, teasing, politics, ill, argument, argue, possession, invasion, insult",10,"war, trembling, force, avoiding, worse, teasing, hiding, ill, dread, possession",13,"father, united, intimate, frank, peaceful, patience, nation, faith, machine, truth, spouse, swear, mother",4,"ill, possession, grumble, insult",5,"laugh, splendid, surprising, peaceful, insult",11,"letter, start, intimate, patience, faith, impatient, dread, clock, long, peaceful, mother",0,,Positive
tuesday march 28 1944 to wednesday march 29 1944,11,"fun, content, smile, love, sweet, beauty, mother, pretty, teach, true, beautiful",7,"ill, difficulties, unhappy, mother, crazy, dark, struggle",6,"politics, jealous, ill, unhappy, crazy, struggle",7,"homework, difficult, watch, hiding, ill, crazy, struggle",13,"father, content, school, smile, frank, show, truth, sweet, mother, word, pretty, teach, true",4,"ill, jealous, unhappy, clumsy",4,"smile, teach, occasional, sweet",6,"fun, sweet, mother, watch, thought, pretty",0,,Very Positive
wednesday march 29 1944 to friday march 31 1944,7,"good, amusing, reward, diary, electric, food, deal",7,"stripped, worse, black, sick, prison, leave, steal",6,"stripped, smash, raging, stolen, prison, steal",10,"war, stripped, frightened, raging, smash, worse, hiding, prison, police, steal",10,"good, cabinet, reward, secret, police, diary, food, deal, fellow, title",3,"sick, raging, stripped",6,"good, frightened, reward, electric, leave, deal",8,"good, stripped, coming, board, reward, wait, public, deal",0,,Negative
friday march 31 1944 to saturday april 1 1944,7,"good, joy, god, save, optimism, pretty, special",6,"doomed, awful, forsaken, loss, tough, punch",4,"punch, forsaken, loss, awful",7,"doomed, withstand, awful, god, loss, punch, shaking",7,"good, frank, god, save, fairly, optimism, pretty",2,"lemon, awful",3,"punch, good, optimism",8,"good, withstand, god, expecting, optimism, long, pretty, time",0,,Very Positive
saturday april 1 1944 to monday april 3 1944,3,"kiss, good, sweet",2,"ill, longing",1,ill,2,"ill, difficult",4,"sweet, shoulder, frank, good",1,ill,3,"kiss, good, sweet",6,"kiss, good, impatient, longing, sweet, time",0,,Very Positive
monday april 3 1944 to wednesday april 5 1944,7,"fun, good, delightful, god, goodness, food, alive",3,"difficulty, shortage, tough",2,"difficulty, shortage",4,"difficulty, god, shortage, chicken",8,"good, frank, delightful, god, goodness, usual, food, alive",1,stomach,2,"goodness, good",9,"fun, good, delightful, god, importance, goodness, alive, time, hungry",0,,Very Positive
wednesday april 5 1944 to thursday april 6 1944,14,"good, excited, cheerful, god, achieve, wonderful, spirits, humorous, vivid, mother, diary, special, gift, alive",10,"bothering, awful, miserable, sob, death, cry, mother, punch, forgotten, struggle",7,"bothering, awful, row, miserable, death, punch, struggle",8,"war, awful, god, death, remains, punch, forgotten, struggle",13,"good, excited, school, frank, god, remains, achieve, wonderful, secret, fact, mother, diary, alive",6,"lemon, awful, miserable, death, remains, ignorant",8,"good, excited, cheerful, death, wonderful, spirits, gift, punch",12,"good, excited, coming, god, death, spirits, gift, mother, thought, time, develop, alive",0,,Very Positive
thursday april 6 1944 to tuesday april 11 1944,3,"progress, favorite, hobby",1,ill,1,ill,2,"warn, ill",4,"warn, favorite, school, frank",1,ill,2,"warn, surprised",5,"progress, wait, warn, public, time",0,,Very Positive
tuesday april 11 1944 to friday april 14 1944,25,"music, young, god, satisfied, mother, found, fun, laugh, love, finally, achieve, shining, white, freedom, beautiful, good, safe, goodness, garden, teach, gorgeous, happiness, diary, food, deal",32,"danger, misery, music, quiet, missing, exhausted, death, falling, fall, black, bang, mother, terrible, defeated, case, worse, broken, ill, interrupted, shiver, ashes, die, wail, dashed, lie, discomfort, bad, suffering, darkness, sentence, deserted, doomed",30,"misery, rage, lying, death, suspicious, angry, bang, bark, terrible, fear, bear, carelessness, broken, ill, fighting, kick, shiver, invasion, revenge, complaint, dashed, lie, bad, darkness, sentence, tension, deserted, combat, demand, smell",44,"danger, misery, missing, god, death, bang, hide, terrible, fear, bear, courageous, case, worse, broken, hiding, ill, shiver, guard, police, nervous, die, barricade, revenge, wail, dashed, bad, risk, suffering, darkness, sentence, forced, fled, flying, war, terror, combat, doomed, trembling, deserted, frightened, afraid, warn, watch, ware",36,"ground, trust, planning, god, leaning, strength, fact, mother, agreed, shoulder, found, innocent, religion, frank, finally, achieve, truth, usual, guard, police, white, freedom, good, safe, justice, goodness, teach, father, inform, dare, watchman, machine, warn, diary, food, deal",17,"deserted, misery, lying, lie, bad, death, carelessness, finally, ill, suffering, terrible, bang, angry, sentence, toilet, waste, smell",19,"incident, young, death, bang, unexpectedly, occasional, laugh, chance, finally, revenge, good, goodness, guess, teach, frightened, trip, warn, deal, suddenly",36,"planning, young, god, death, wait, suspicious, ready, plan, mother, deal, fun, coming, finally, attempt, shining, shiver, thought, white, nervous, revenge, good, intended, expecting, risk, probability, goodness, sentence, clock, dare, start, happiness, board, warn, watch, time, invitation",0,,Very Negative
friday april 14 1944 to saturday april 15 1944,5,"good, love, luck, sun, hope",7,"doubt, stifled, interested, exile, bad, worse, grumpy",5,"stifled, lying, exile, bad, grumpy",6,"doubt, stifled, exile, bad, government, worse",5,"doubt, good, frank, sun, hope",6,"lying, interested, bad, ugly, drivel, grumpy",4,"luck, sun, hope, good",5,"good, sun, luck, time, hope",0,,Very Negative
saturday april 15 1944 to sunday april 16 1944,9,"sweetheart, feeling, comfort, hope, shopping, mother, luck, food, kind",14,"sweetheart, feeling, problem, upset, bad, cry, ill, sick, broken, lost, scarce, mother, leave, steal",8,"feeling, upset, bad, blame, ill, broken, possession, steal",9,"feeling, problem, operation, bad, ill, broken, possession, scarce, steal",14,"sweetheart, feeling, frank, comfort, operation, count, registry, secret, hope, cement, shopping, mother, food, kind",10,"feeling, bad, bombed, blame, ill, sick, intestinal, possession, nose, toilet",7,"feeling, shopping, guess, luck, leave, hope, suddenly",9,"sweetheart, feeling, comfort, cement, shopping, mother, luck, immediately, hope",0,,Very Negative
sunday april 16 1944 to monday april 17 1944,5,"feeling, kiss, happy, intense, wonderful",2,"ill, feeling",4,"ill, feeling, words, intense",3,"ill, feeling, intense",9,"feeling, frank, important, happy, top, intense, wonderful, shoulder, divan",3,"ill, feeling, intense",4,"wonderful, feeling, kiss, intense",7,"feeling, kiss, begun, happy, top, long, time",0,,Very Positive
monday april 17 1944 to wednesday april 19 1944,22,"young, amusing, happy, tree, wonderful, mother, marriage, bouquet, kiss, intimate, love, promise, safe, thrilling, goodness, beauty, approve, feeling, favorite, peaceful, deal, rising",11,"doubt, feeling, fearful, terribly, ill, unhappy, lost, victim, mother, hurt, leave",9,"feeling, lying, hot, revolt, tree, ill, unhappy, victim, hurt",9,"doubt, war, feeling, fearful, ill, sneaking, victim, hurt, anxious",24,"doubt, trust, iron, happy, tree, wonderful, mother, marriage, shoulder, bouquet, intimate, frank, promise, safe, secret, goodness, approve, honesty, father, feeling, favorite, sneaking, peaceful, deal",6,"feeling, lying, boy, tree, ill, unhappy",14,"feeling, kiss, young, revolt, tree, thrilling, wonderful, mouth, goodness, peaceful, leave, occasional, deal, judgment",19,"young, happy, wait, tree, mother, marriage, kiss, intimate, thought, bye, thrilling, goodness, feeling, sneaking, peaceful, time, deal, rising, anxious",0,,Very Positive
wednesday april 19 1944 to tuesday april 25 1944,12,"marry, beauty, feeling, good, safe, darling, finally, sing, birthday, peaceful, enjoying, sun",6,"feeling, sore, bad, disturbed, sing, disaster",7,"feeling, rage, sore, bad, disturbed, blame, disaster",5,"feeling, bad, marry, shady, disaster",12,"feeling, good, frank, safe, darling, finally, sing, marry, peaceful, enjoying, sun, title",6,"feeling, boy, bad, blame, finally, disaster",9,"marry, feeling, good, finally, surprisingly, birthday, peaceful, sun, disaster",12,"marry, feeling, good, finally, sing, surprisingly, time, birthday, long, peaceful, enjoying, sun",0,,Very Positive
tuesday april 25 1944 to thursday april 27 1944,7,"amusing, god, pretty, birthday, mother, food, silly",6,"awful, miserable, cancer, ill, mother, hopeless",7,"awful, miserable, blame, ill, cancer, hit, furious",5,"awful, god, cancer, ill, hopeless",9,"father, frank, god, pretty, dealings, measure, doctor, mother, food",8,"boy, awful, miserable, blame, ill, cancer, furious, toilet",1,birthday,5,"god, birthday, mother, pretty, time",0,,Very Negative
thursday april 27 1944 to friday april 28 1944,4,"abundance, laugh, sun, child",4,"complain, agony, malaria, bad",5,"complain, bad, agony, battle, invasion",4,"war, agony, malaria, bad",7,"colonel, chart, frank, abundance, serve, usual, sun",7,"cough, malaria, abundance, john, bad, nose, bran",2,"laugh, sun",7,"long, abundance, mill, university, time, sun, child",0,,Very Negative
friday april 28 1944 to tuesday may 2 1944,20,"friendship, comfort, amusing, glow, wonderful, bliss, passionate, marry, found, kiss, passion, peace, love, tenderness, honest, tender, hope, feeling, laughter, happiness",11,"feeling, quiet, lonely, longing, bottom, darkness, older, honest, fell, forgotten, struggle",5,"feeling, lonely, darkness, honest, struggle",9,"feeling, trembling, lonely, darkness, afraid, honest, marry, forgotten, struggle",20,"friendship, comfort, glow, wonderful, strength, passionate, marry, found, passion, frank, peace, confide, show, usual, honest, experienced, tender, hope, divan, feeling",5,"feeling, boy, lonely, honest, nose",9,"feeling, kiss, infrequent, mouth, wonderful, laughter, marry, hope, suddenly",13,"feeling, kiss, passion, comfort, peace, glow, laughter, longing, passionate, marry, happiness, time, hope",0,,Very Positive
tuesday may 2 1944 to wednesday may 3 1944,9,"friendship, promise, good, love, glad, birthday, gift, true, beautiful",2,"ill, bad",5,"distrust, bad, ill, quarrel, words",4,"ill, bad, razor, distrust",12,"father, friendship, promise, good, trust, frank, strength, fact, show, worthy, agreed, true",5,"boy, distrust, lemon, bad, ill",4,"incident, good, gift, birthday",8,"good, coming, immediately, glad, birthday, gift, thought, time",0,,Very Positive
wednesday may 3 1944 to friday may 5 1944,14,"romance, laugh, fun, lover, humanity, amusing, finally, goodness, liberation, humorous, beauty, happiness, diary, food",10,"doubt, danger, romance, despair, murder, kill, dumps, crazy, destroyed, guilty",11,"rage, hot, destruction, despair, murder, politics, dumps, crazy, guilty, destroyed, invasion",13,"doubt, war, crazy, danger, romance, medical, despair, murder, hiding, kill, dangerous, hide, destroyed",12,"doubt, romance, medical, frank, lover, humanity, finally, strength, goodness, diary, food, continue",7,"rotting, despair, finally, dirty, murder, flea, mess",7,"romance, laugh, murder, finally, surprisingly, goodness, liberation",16,"romance, start, fun, medical, lover, tomorrow, happiness, finally, surprisingly, reconstruction, adventure, liberation, goodness, long, time, continue",0,,Positive
friday may 5 1944 to saturday may 6 1944,4,"mother, laugh, good, kind",13,"doubt, forbid, bad, miserable, cry, ill, lonely, unhappy, older, mother, struggle, leave, wanting",8,"bad, miserable, ill, lonely, unhappy, battle, struggle, noisy",5,"doubt, bad, ill, lonely, struggle",11,"father, doubt, good, trust, frank, advice, account, expect, mother, word, kind",5,"bad, miserable, ill, lonely, unhappy",4,"laugh, expect, leave, good",7,"good, long, expect, expected, mother, thought, time",0,,Very Negative
saturday may 6 1944 to monday may 8 1944,13,"fun, good, love, finally, improve, proud, share, pride, birthday, mother, diary, food, true",18,"unhappiness, lowest, miserably, missing, pain, cruel, hurtful, upset, ashamed, unkind, undertaker, black, broken, lonely, older, ill, mother, sorrow",13,"injustice, cruel, hurtful, upset, unkind, blame, broken, mistress, lonely, ill, despicable, words, deserve",11,"difficult, missing, pain, cruel, hurtful, unkind, broken, lonely, ill, police, sorrow",19,"account, supporting, mother, deserve, true, frank, finally, errand, defended, proud, show, police, good, improve, father, important, share, diary, food",12,"boy, ashamed, cruel, hurtful, unkind, finally, mistress, blame, lonely, ugly, ill, despicable",3,"good, finally, birthday",17,"letter, daily, track, fun, good, delivery, start, finally, errand, proud, ready, improve, share, birthday, mother, deserve, develop",0,,Very Negative
monday may 8 1944 to tuesday may 9 1944,13,"money, art, gorgeous, laugh, spouse, good, food, delicious, elegant, exciting, mother, youth, beautiful",5,"art, case, homicide, lost, mother",5,"money, hot, homicide, words, youth",5,"war, case, youth, homicide, inflation",12,"father, money, good, spouse, frank, assure, fill, fairly, mother, advocate, food, nurse",1,homicide,7,"money, art, laugh, good, mouth, exciting, youth",9,"money, art, good, exciting, happen, mother, addresses, youth, time",0,,Very Positive
tuesday may 9 1944 to wednesday may 10 1944,12,"green, present, laughter, finally, lovely, perfect, satisfied, daughter, shopping, mother, diary, pretty",3,"mother, confinement, lovely",1,confinement,4,"laxative, hearing, confinement, hiding",15,"father, green, lesson, frank, grandfather, present, finally, lovely, perfect, shopping, mother, fully, word, pretty, diary",3,"laxative, boy, finally",6,"present, finally, laughter, shopping, lovely, trick",12,"lesson, inquiry, present, laughter, finally, lovely, perfect, shopping, mother, thought, pretty, time",0,,Very Positive
wednesday may 10 1944 to thursday may 11 1944,4,"luck, laughter, share, found",2,"disaster, dashed",3,"armed, disaster, dashed",3,"armed, disaster, dashed",4,"father, fact, share, found",2,"stink, disaster",4,"disaster, laughter, luck, suddenly",5,"laughter, share, luck, immediately, time",0,,Very Positive
thursday may 11 1944 to thursday may 11 1944,8,"good, laugh, god, heroism, finally, treat, liberation, mother",18,"abuse, stripped, die, apologize, stroke, blue, upset, bad, bum, ill, vanished, treat, shell, mother, hurt, horror, prisoner, abduction",16,"abuse, spite, stripped, hot, belt, mutter, upset, scolding, bad, ill, treat, shell, words, hurt, horror, prisoner",17,"abuse, flying, stripped, die, stroke, god, belt, bad, ill, vanished, hiding, treat, shell, hurt, horror, prisoner, abduction",10,"father, good, frank, god, heroism, finally, treat, usual, mother, apologize",9,"abuse, stripped, bad, finally, ill, treat, bum, horror, prisoner",10,"laugh, good, heroism, finally, treat, vanished, shell, liberation, horror, abduction",11,"good, stripped, coming, long, god, heroism, finally, treat, liberation, mother, time",0,,Very Negative
thursday may 11 1944 to saturday may 13 1944,19,"nap, god, happy, friend, mother, marriage, true, laugh, love, heroism, finally, pride, good, treat, liberation, succeed, vacation, graduation, diary",26,"chaos, stripped, bum, shattered, mother, apologize, depression, plight, case, blue, upset, ill, vanished, shell, die, abduction, dying, bad, concerned, treat, cross, horror, prisoner, abuse, stroke, hurt",19,"chaos, stripped, belt, upset, mutter, ill, shell, words, dying, bad, scolding, treat, cross, horror, prisoner, abuse, spite, hot, hurt",26,"chaos, stripped, god, belt, plight, case, ill, vanished, hiding, shell, die, abduction, dying, bad, concerned, treat, cross, horror, prisoner, abuse, flying, war, stroke, graduation, remains, hurt",22,"god, happy, serve, friend, mother, apologize, marriage, true, frank, heroism, finally, professor, usual, good, treat, secret, succeed, manage, father, graduation, remains, diary",12,"abuse, dying, stripped, plight, bad, remains, finally, ill, treat, bum, horror, prisoner",13,"laugh, good, heroism, graduation, finally, treat, vanished, shell, liberation, succeed, break, horror, abduction",20,"stripped, god, tomorrow, happy, wait, mother, marriage, coming, plight, heroism, finally, thought, good, treat, liberation, succeed, vacation, long, graduation, time",0,,Very Negative
saturday may 13 1944 to tuesday may 16 1944,8,"beer, bloom, delicious, tree, wonderful, shining, sun, beautiful",0,,1,tree,0,,6,"father, bloom, frank, tree, wonderful, sun",1,tree,3,"wonderful, sun, tree",4,"tree, sun, bloom, shining",0,,Very Positive
tuesday may 16 1944 to friday may 19 1944,7,"art, laughing, majority, love, exciting, mother, true",5,"art, interested, dull, ill, mother",3,"ill, invasion, words",3,"ill, war, medical",8,"religion, frank, medical, majority, show, convinced, mother, true",2,"ill, interested",2,"art, exciting",11,"art, start, medical, wont, store, wait, exciting, long, time, mother, correspondence",0,,Very Positive
friday may 19 1944 to saturday may 20 1944,4,"tenderness, love, happy, kiss",2,"ill, hell",4,"ill, conquest, force, hell",4,"ill, conquest, force, hell",2,"happy, frank",3,"ill, boy, hell",1,kiss,2,"happy, kiss",0,,Very Negative
saturday may 20 1944 to thursday may 25 1944,18,"heroic, laughing, laugh, good, true, faith, save, liberation, freedom, honest, generous, lovely, luck, hope, pay, mother, rising, beautiful",21,"dismay, awful, mother, sorrow, terrible, ruined, affront, sacrifices, damage, impossible, upset, lovely, die, hatred, crying, bad, honest, loss, lost, dreadful, unfortunate",20,"dismay, awful, unjust, deserve, ruined, terrible, affront, threat, damage, upset, fighting, words, hatred, invasion, bad, honest, unthinkable, loss, blame, dreadful",24,"dismay, asylum, difficult, awful, mistaken, fever, sorrow, ruined, terrible, affront, threat, sacrifices, waver, die, hatred, bad, honest, unthinkable, war, loss, dreadful, foreboding, suspense, anxious",25,"heroic, save, confirmed, fact, mother, deserve, pay, shoulder, true, frank, show, truth, generous, lovely, freedom, good, cover, justice, honest, hope, father, policy, upright, expect, faith",14,"affront, sacrifices, awful, damage, lesser, bad, blame, dreadful, nose, honest, unthinkable, ruined, terrible, hatred",14,"heroic, affront, dismay, laugh, purity, good, expect, liberation, hope, differently, lovely, luck, suspense, judgment",19,"dismay, mother, fate, pay, deserve, lovely, good, liberation, long, hope, expect, dreadful, foreboding, faith, luck, time, suspense, rising, anxious",0,,Very Negative
thursday may 25 1944 to friday may 26 1944,6,"young, happy, pleased, hope, mother, deal",10,"lowest, case, loss, worse, loneliness, lonely, abyss, black, ill, mother",4,"lonely, ill, loss, hot",10,"rule, war, case, loss, worse, loneliness, hiding, abyss, lonely, ill",10,"advise, father, rule, frank, steady, happy, agreeable, hope, mother, deal",2,"lonely, ill",4,"young, hope, deal, steady",7,"young, happy, hope, happen, mother, deal, hungry",0,,Very Negative
friday may 26 1944 to wednesday may 31 1944,6,"laugh, good, love, happy, weight, food",15,"misery, oppressive, awful, disappointment, cruel, miserable, despair, forgotten, anxiety, broken, weight, mocking, horror, shrink, unbearable",16,"misery, fear, oppressive, awful, bear, cruel, miserable, despair, anxiety, broken, raid, mocking, crushing, tension, horror, invasion",21,"misery, oppressive, awful, cruel, weight, stunned, forgotten, shrink, fear, bear, mysterious, broken, hiding, raid, police, anxiety, crushing, horror, forced, frightened, despair",9,"father, noble, good, frank, happy, top, weight, police, food",14,"misery, oppressive, awful, disappointment, cruel, miserable, despair, dirty, crushing, weight, mocking, horror, toilet, unbearable",8,"laugh, good, mysterious, frightened, raid, weight, stunned, horror",11,"good, coming, mysterious, happy, top, anxiety, weight, happen, hurry, long, thought",0,,Very Negative
wednesday may 31 1944 to friday june 2 1944,5,"finally, wonderful, shining, enjoying, beautiful",5,"awful, late, ill, hurt, suffocating",5,"awful, hot, horrible, ill, hurt",5,"awful, horrible, ill, hurt, suffocating",8,"frank, enjoying, watchman, finally, fixed, wonderful, word, wear",6,"awful, horrible, finally, ill, sour, suffocating",2,"wonderful, finally",3,"enjoying, shining, finally",0,,Very Negative
friday june 2 1944 to monday june 5 1944,3,"safe, success, good",4,"worry, problem, worse, falling",2,"shooting, fear",6,"fear, problem, worse, hiding, shooting, worry",4,"safe, formula, good, frank",0,,1,good,3,"worry, good, success",0,,Very Negative
monday june 5 1944 to tuesday june 6 1944,2,"friendship, friendly",5,"impossible, bad, black, bottom, destroyed",2,"bad, destroyed",2,"bad, destroyed",3,"friendship, frank, friendly",2,"bad, bombed",0,,2,"long, friendly",0,,Very Negative
tuesday june 6 1944 to friday june 9 1944,9,"feeling, good, victory, engaged, liberation, salvation, luck, hope, true",10,"feeling, agony, bad, cry, ill, suffering, dark, bomb, terrible, destroyed",13,"combat, commotion, feeling, agony, bad, hit, ill, fighting, enemy, bomb, destroyed, terrible, invasion",12,"warned, combat, feeling, lines, agony, bad, ill, suffering, enemy, bomb, terrible, destroyed",15,"real, feeling, good, school, frank, ground, victory, engaged, steadfast, general, salvation, measure, usual, hope, true",6,"feeling, bad, ill, suffering, enemy, terrible",7,"warned, feeling, good, bomb, liberation, luck, hope",14,"warned, feeling, good, prepare, begun, victory, engaged, liberation, salvation, long, luck, thought, time, hope",0,,Very Negative
friday june 9 1944 to tuesday june 13 1944,9,"money, art, music, finally, victor, excitement, generous, child, freedom",7,"art, music, bad, miserable, difficulties, crazy, unbearable",6,"money, bad, miserable, fighting, crazy, invasion",4,"flying, war, bad, crazy",6,"money, modest, frank, finally, generous, freedom",4,"bad, miserable, unbearable, finally",4,"money, art, excitement, finally",6,"money, art, finally, excitement, child, time",0,,Neutral
